Text_Clean,Latitude,Longitude,Country,coordinates,city
stockmarketwire eurotunnel sets new traffic records  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire corero revenues rise  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire wood group wins usdm contract with nexen  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire anglo americans guidance unchanged  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire united carpets plush  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire go ahead on track  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire segro says  progressing in line with its views  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire pets sees fy underlying pretax profit in line  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire flash  american express net income falls  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire flash  drum income plus reit gives update  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
  happy anniversary,51.49196153,-0.14873919,GB,"[51.49196153, -0.14873919]",Greater London
just posted a photo at the gym health  amp  fitness ,53.8091125,-1.51185915,GB,"[53.8091125, -1.51185915]",West Yorkshire
good morning one and all  the sun is out again ,53.56321416,-1.07254634,GB,"[53.56321416, -1.07254634]",South Yorkshire
treat me like fire by lion babe is  nowplaying in littledown centre bournemouth ,50.74496094,-1.82520318,GB,"[50.74496094, -1.82520318]",Dorset
just three young intellectuals discussing the uks relationship with the european union over a  ,53.377,-1.4769,GB,"[53.377, -1.4769]",South Yorkshire
faithless love by john david souther is  nowplaying in tall chimney swadlincote   download it now at ,52.77159517,-1.55629528,GB,"[52.77159517, -1.55629528]",Derbyshire
all day by kanye west is  nowplaying in stokewood leisure centre bournemouth   download it now at ,50.73730866,-1.87413538,GB,"[50.73730866, -1.87413538]",Dorset
so my friend  has the cutest puppy ever oh my god just too much xxx  puppies  ,51.48485498,-0.17523966,GB,"[51.48485498, -0.17523966]",Greater London
rise  amp  shine      morning  fashionista  fashionblogger  fashion  style  blogger  streetwear  ,51.50416667,-0.14361111,GB,"[51.50416667, -0.14361111]",Greater London
 baronessgreenfield thank you so much for your excellent presentation  last night,54.966975,-1.594544,GB,"[54.966975, -1.594544]",Tyne and Wear
  bst  unreliable forecast for the next  hours  fine weather,51.365,-0.251,GB,"[51.365, -0.251]",Surrey
stockmarketwire flash  ashtead at top end of forecasts  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire flash  conygar submits cross hands planning application  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire flash  lidco to launch new lidcounity monitor in us  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire flash  torotrak makes good progress with yr strategy  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
  at cardiff university school of engineering in cardiff ,51.48442960000001,-3.16992044,GB,"[51.48442960000001, -3.16992044]",Cardiff
stockmarketwire ladbrokes revenues up  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
  bst    c         mph e   mm hr  hpa falling slowly ,51.365,-0.251,GB,"[51.365, -0.251]",Surrey
stockmarketwire flash  smiths group acquires morpho detection  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire flash  south issues quarterly operations report  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire flash  netdimensions partners with musc  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire flash  computacenter revenues rise  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
stockmarketwire gfinity launches exclusive xbox one app  ,51.44197393,-0.08955078,GB,"[51.44197393, -0.08955078]",Greater London
day two of  globalcontemp being kicked off by  speaking on museums and human rights  ,52.6090149,-1.086172,GB,"[52.6090149, -1.086172]",Leicestershire
surface tension xcm part of a series of paintings based on oil spills  on view at  ,51.9,-2.08333,GB,"[51.9, -2.08333]",Gloucestershire
ben lives here    bigben  blueskies  nofilter  london at big ben ,51.50075556,-0.12466111,GB,"[51.50075556, -0.12466111]",Greater London
 made contact waiting to hear back,54.59632838,-5.92763519,GB,"[54.59632838, -5.92763519]",Belfast
super cool box braids by r dhairstudio  kept fresh using charlotte mensahs  ,51.51425,-0.20388889,GB,"[51.51425, -0.20388889]",Greater London
 this is the name of an early aviator in australia,51.3958733,-2.3671592999999995,GB,"[51.3958733, -2.3671592999999995]",Bath and North East Somerset
g night ldn    aroomwithaview at tooting south london ,51.42949702,-0.16511829,GB,"[51.42949702, -0.16511829]",Greater London
just posted a photo at kelvingrove art gallery  amp  museum ,55.86852799,-4.29069433,GB,"[55.86852799, -4.29069433]",Glasgow City
happy th birthday to her majesty the queen         godsavethequeen at dishoom carnaby ,51.5131035,-0.13966900000000002,GB,"[51.5131035, -0.13966900000000002]",Greater London
the sun may be out but the tracks are still soggy  cycling  cyclingcommute  fromwhereiride  ,55.0206958,-1.65646916,GB,"[55.0206958, -1.65646916]",Tyne and Wear
drivers facing delays on their morning commute across oxford   oxon ,51.99618921,-1.49328634,GB,"[51.99618921, -1.49328634]",Oxfordshire
recently worked with  on their latest noise reel music show for brightons latest tv  ,50.8429,-0.1313,GB,"[50.8429, -0.1313]",Brighton and Hove
our biofair plus coffee is   organic fairtrade and   arabica  now available in central  ,51.52,-0.1566,GB,"[51.52, -0.1566]",Greater London
great way to start the day   at costa ,50.75830119,-1.54206786,GB,"[50.75830119, -1.54206786]",Hampshire
make your whole wedding day special  just about to start their main meal  party all day and  ,53.63180828,-2.23080787,GB,"[53.63180828, -2.23080787]",Greater Manchester
  happy birthday dear rania  have a really lovely day wishing you much happiness todaylove marion     ,51.7611901,-0.3282697,GB,"[51.7611901, -0.3282697]",Hertfordshire
break the rules by charlie xcx is  nowplaying in anytime fitness ,51.90227525,-0.65138507,GB,"[51.90227525, -0.65138507]",Central Bedfordshire
sometimes changing your perspective helps to focus on things that really matter    i hope you  ,51.4551592,-2.6038739,GB,"[51.4551592, -2.6038739]",City of Bristol
well done aimee  new adult tapper  fab  danceroftheweek  tap  denton  tameside at jh dance  ,53.456633,-2.11035234,GB,"[53.456633, -2.11035234]",Greater Manchester
great night at the  clubhousepartay drumming up  votes for our   nominated  ,51.5242852,-0.07491239999999999,GB,"[51.5242852, -0.07491239999999999]",Greater London
park life at st james park westminster ,51.50240291,-0.12979948,GB,"[51.50240291, -0.12979948]",Greater London
every time  tories come up with a new catchphrase i get this   a pop to hear some mp blethering on no ta  ,53.7448746,-1.5047833000000002,GB,"[53.7448746, -1.5047833000000002]",West Yorkshire
im at goodwin sport centre in sheffield south yorkshire ,53.38247187,-1.49530602,GB,"[53.38247187, -1.49530602]",South Yorkshire
dedicated hospital nurse suspended for working at other centres while on paid    cheshire ,53.08910114,-2.43301135,GB,"[53.08910114, -2.43301135]",Cheshire East
one of my favourite  spot in  london    citylife  cityscape  londonpop  londoner  instacool  ,51.56027778,-0.16083333,GB,"[51.56027778, -0.16083333]",Greater London
im at the sharp project ,53.50153246,-2.19472736,GB,"[53.50153246, -2.19472736]",Greater Manchester
love is a laserquest at sheffield ,53.3833,-1.4667,GB,"[53.3833, -1.4667]",South Yorkshire
so much great art here now all bristol artist   bristol  ,51.47411538,-2.61068349,GB,"[51.47411538, -2.61068349]",City of Bristol
i just finished cycling   miles in m s with  endomondo  endorphins ,52.043635,-0.3552468,GB,"[52.043635, -0.3552468]",Central Bedfordshire
love the back kit here  back at strength asylum ,53.02149909,-2.16573068,GB,"[53.02149909, -2.16573068]",Stoke-on-Trent
just posted a photo at mysignworks signs print ,53.55445016,-3.04008579,GB,"[53.55445016, -3.04008579]",Merseyside
caught on camera  suspected thief   cheshire ,53.08910114,-2.43301135,GB,"[53.08910114, -2.43301135]",Cheshire East
this concept art from  a princess on lothal       starwars ,51.65775484,-0.26868325,GB,"[51.65775484, -0.26868325]",Hertfordshire
im at london  lhr in hounslow london ,51.46971536,-0.45988083,GB,"[51.46971536, -0.45988083]",Greater London
flights to  scilly could be disrupted on friday aprilrd   cornwall  kernow ,50.6830695,-4.69379654,GB,"[50.6830695, -4.69379654]",Cornwall
two arrested after death of man in hayle   cornwall  kernow ,50.6830695,-4.69379654,GB,"[50.6830695, -4.69379654]",Cornwall
more ships needed to stop migrants   sussex ,50.81937006,0.37338294,GB,"[50.81937006, 0.37338294]",East Sussex
 its not that its that it doesnt make thoughts of dying less constant or ignoring them any easier,54.59808667,-5.92772959,GB,"[54.59808667, -5.92772959]",Belfast
whilst walking through euston last week i was approached by a buddhist monk and we began to chat  ,51.53159796,-0.12382834,GB,"[51.53159796, -0.12382834]",Greater London
i seem to spend half my life say on trains  sun  sunshine  ,53.4872,-2.2424,GB,"[53.4872, -2.2424]",Greater Manchester
check it ouuuut fennel salami cream buffalo mozzarella and today adding some chard on a  ,51.5262,-0.1178,GB,"[51.5262, -0.1178]",Greater London
on your marks   get set   goooooo  motorbike  adventures  travel  motorbikeadventuresofbritain  ,54.51300000000001,-2.495,GB,"[54.51300000000001, -2.495]",Cumbria
whats love got to do with it by tina turner is  nowplaying in cask lincoln   download it now at ,53.23387163,-0.5407809,GB,"[53.23387163, -0.5407809]",Lincolnshire
im at home ,52.67094702,-1.93800878,GB,"[52.67094702, -1.93800878]",Staffordshire
departing flackwell heath boss on his replacement   bucks ,51.70562364,-0.61128817,GB,"[51.70562364, -0.61128817]",Buckinghamshire
so my friend  has the cutest puppy ever oh my god just too much xxx at bluebird  ,51.48485498,-0.17523966,GB,"[51.48485498, -0.17523966]",Greater London
doodlebug getting in the spirit of the tour de yorkshire  wetherby  shoplocal   tourdeyorkshire ,53.9288584,-1.3867094,GB,"[53.9288584, -1.3867094]",West Yorkshire
 piles of ironing     has to be my most depressing sight   then it all gets done  amp   days later its all back in the pile again,52.43703420000001,-3.09645751,GB,"[52.43703420000001, -3.09645751]",Shropshire
im at callaghan square ,51.47529806,-3.17552326,GB,"[51.47529806, -3.17552326]",Cardiff
queens th birthday awards success for derbyshire companies   derbyshire,52.83128823,-1.35905117,GB,"[52.83128823, -1.35905117]",Leicestershire
video  the queen s life in  pictures   happy birthday to hrh   rutland ,52.65048587,-0.63751549,GB,"[52.65048587, -0.63751549]",Rutland
 social media marketing strategies for startups  ,51.50134968,-0.14284397,GB,"[51.50134968, -0.14284397]",Greater London
met awards tenure to principal harp  and gets two new instruments   classicalmusic ,51.50097703,-0.17772317,GB,"[51.50097703, -0.17772317]",Greater London
just posted a photo at mysignworks signs print ,53.55445016,-3.04008579,GB,"[53.55445016, -3.04008579]",Merseyside
the smock mill at lacey green in buckinghamshire on monday afternoon  at lacey green windmill ,51.69980562,-0.81551603,GB,"[51.69980562, -0.81551603]",Buckinghamshire
  we couldn t be trusted to elect a head of state as  boaty mcboatface  showed us ,53.07404345,-2.49001374,GB,"[53.07404345, -2.49001374]",Cheshire East
im at cardiff central railway station cdf    in cardiff south glamorgan ,51.47615091,-3.17952275,GB,"[51.47615091, -3.17952275]",Cardiff
astrazeneca  training specialist  avlonbristol   job  jobs  hiring  careerarc,51.3192107,-2.7263672000000003,GB,"[51.3192107, -2.7263672000000003]",North Somerset
 tbt to last spring in london wearing pastel going to search for this jacket again    ,51.51330224,-0.13134784,GB,"[51.51330224, -0.13134784]",Greater London
   back in to one of your favourite places again   ,51.39587210000001,-2.3671624,GB,"[51.39587210000001, -2.3671624]",Bath and North East Somerset
 minutes trip which usually only takes  at tyne tunnel in wallsend tyne and wear ,54.98657761,-1.48504257,GB,"[54.98657761, -1.48504257]",Tyne and Wear
have a great day you beautiful people and let nobody stop your happiness  thursday  beard  ,51.6,-1.25,GB,"[51.6, -1.25]",Oxfordshire
  a bigger splash by david hockney    morningvibes  tatebritain  summeriscoming  davidhockney  ,51.490833,-0.127222,GB,"[51.490833, -0.127222]",Greater London
such a gorge vibe and gentle energy at the tibetanbuddhism centre in se   colours  incense  ,51.49554224,-0.07438374,GB,"[51.49554224, -0.07438374]",Greater London
 all you need in the morning is a little bit of gold dust   instantlygolden  turmeric  ,51.51330224,-0.13134784,GB,"[51.51330224, -0.13134784]",Greater London
late night opening tonight at  dananncrafts  william st  lurgan beside courthouse bar   ,54.46576,-6.337269999999998,GB,"[54.46576, -6.337269999999998]","Armagh City, Banbridge And Craigavon"
well done evie  you did amazing   danceroftheweek  jazz  technique  street  stretch  denton  ,53.456633,-2.11035234,GB,"[53.456633, -2.11035234]",Greater Manchester
 great catching up with you too though  interesting conference,54.5679754,-5.9311447,GB,"[54.5679754, -5.9311447]",Belfast
 starting to worry that my twitter handle will be the main success listed in my obit   which will be  characters of course,54.5679942,-5.931109200000002,GB,"[54.5679942, -5.931109200000002]",Belfast
 estateagent build your  brand with  premiumpropertymarketing  photography  floorplan  epc  costeffective  ,52.9286389,-1.2727190000000002,GB,"[52.9286389, -1.2727190000000002]",Nottinghamshire
evening  trailrun with the girls    feels like summers on the way  peakdistrict  run  ,53.33048516,-1.65394661,GB,"[53.33048516, -1.65394661]",Derbyshire
happiest day of my life  married to the  love of my  life  wedding  marriage  married  dress  ,52.97517874,-1.40392257,GB,"[52.97517874, -1.40392257]",Derbyshire
morning   at wimbledon station ,51.4232,-0.2043,GB,"[51.4232, -0.2043]",Greater London
thu  apr    forecast for the next  hours  fairly fine showery later ,52.417,-1.442,GB,"[52.417, -1.442]",West Midlands
just do what must be done  this may not be happiness but it is greatness      photo by  ,51.50514919,-0.07558474,GB,"[51.50514919, -0.07558474]",Greater London
" elizabeth  queen
elizabeth ii
born april 
 bruton street mayfair london united  ",51.508755,-0.14743,GB,"[51.508755, -0.14743]",Greater London
 beyonce coming out to  play  yamaha  fjr  motorbikeadventuresofbritain  motorbikeadventures  ,54.51300000000001,-2.495,GB,"[54.51300000000001, -2.495]",Cumbria
so  travel to  in the th round of the challenge cup   bring it on tigers ,53.492169200000006,-2.295995,GB,"[53.492169200000006, -2.295995]",Greater Manchester
good morning my people    at university of glasgow ,55.87243520000001,-4.28923345,GB,"[55.87243520000001, -4.28923345]",Glasgow City
birthday girl    xc  stillgoingstrong  thequeen  happy  birthday at exposure london ,51.5170845,-0.1408967,GB,"[51.5170845, -0.1408967]",Greater London
i just finished walking   miles in m s with  endomondo  endorphins ,54.963723,-1.84258,GB,"[54.963723, -1.84258]",Northumberland
i just began a riding workout using  endomondo  peptalk me now at ,51.1027757,-0.8017913000000001,GB,"[51.1027757, -0.8017913000000001]",Hampshire
she is love by parachute is  nowplaying in oxon priory shelton ,52.714766,-2.792888,GB,"[52.714766, -2.792888]",Shropshire
  thrashing of everton and the roar of the kop behind me  a very special night   lfc  liverpoolfc  ,53.40625071,-2.94466913,GB,"[53.40625071, -2.94466913]",Merseyside
"   morning h   and this one which may be the same person 

morning  gt  gt     ",51.4564379,-0.2399488,GB,"[51.4564379, -0.2399488]",Greater London
simple scrollto function with jquery   devseo blog   ,54.0633,-2.88424,GB,"[54.0633, -2.88424]",Lancashire
stumbled across this  quote enroute to  work  never been so true whether its sport work or any  ,51.51330224,-0.13134784,GB,"[51.51330224, -0.13134784]",Greater London
the digital transformation challenge   ,54.0633,-2.88424,GB,"[54.0633, -2.88424]",Lancashire
 i worshipped her    delia smith pays tribute to victoria wood   norfolk ,52.62843255,1.29620869,GB,"[52.62843255, 1.29620869]",Norfolk
 if its like a tory token consultation no thanks ,51.63127963,0.35091804,GB,"[51.63127963, 0.35091804]",Essex
halfords   vehicle technician and mot tester   macclesfield   macclesfield  ukjobs ,53.25933938,-2.12288119,GB,"[53.25933938, -2.12288119]",Cheshire East
nearly there    on the fashion front    queensthbirthday ginny wearing  toupy and  drdenim     ,51.08699261,-0.70895085,GB,"[51.08699261, -0.70895085]",Surrey
fitness friday synergy   chessington so get ready for  with lesley  fitness  tone  sculpt  burn ,51.3553154,-0.3108696,GB,"[51.3553154, -0.3108696]",Greater London
halfords   service advisor   folkestone part time   folkestone  ukjobs ,51.07843878,1.17226259,GB,"[51.07843878, 1.17226259]",Kent
man faces jail for exploiting workers   cambridgeshire ,52.31893348,-0.16945685,GB,"[52.31893348, -0.16945685]",Cambridgeshire
queen has been rock of strength   pm   berkshire ,51.48392172,-0.60450311,GB,"[51.48392172, -0.60450311]",Windsor and Maidenhead
events to kick off around gloucestershire today to celebrate      gloucestershire,51.88913974,-2.27672976,GB,"[51.88913974, -2.27672976]",Gloucestershire
man fined  amp pound  for illegal fishing at popular  tewkesbury      gloucestershire,51.88913974,-2.27672976,GB,"[51.88913974, -2.27672976]",Gloucestershire
 weather  temp    c   hum      pres  hpa rising   cond  clear   wind  nnw  km h,52.17837848,-2.23552667,GB,"[52.17837848, -2.23552667]",Worcestershire
"grass 
 scotland  falkirk  unioncanal  grass  nature  riverbank  ladepath  carron  sky   skyporn  ",56.0,-3.76667,GB,"[56.0, -3.76667]",Falkirk
teenagers force man to hand over his wallet during early morning robbery at    southend ,51.54717027,0.66508719,GB,"[51.54717027, 0.66508719]",Southend-on-Sea
cheesy goings on in the shop today  new  matured vintage cheddar a and organic  ,51.4659859,-0.056916199999999986,GB,"[51.4659859, -0.056916199999999986]",Greater London
take me back to november when i saw my idols live for the first time    took me years to see  ,56.55,-3.26667,GB,"[56.55, -3.26667]",Perth and Kinross
fantastic effort from the students  kungfuschools  martialarts  wingchun  sifualanpaterson  ,51.35307202,-0.09379906,GB,"[51.35307202, -0.09379906]",Greater London
   at tilehurst reading united kingdom ,51.45,-1.03333,GB,"[51.45, -1.03333]",West Berkshire
palm springs ready    coachella ready         granmaonmdma  tbt to resort   chagsameach  ,51.47065304,-0.48677064,GB,"[51.47065304, -0.48677064]",Greater London
can you recommend anyone for this  engineering  job   sunbury surrey  hiring,51.4191935,-0.4191503,GB,"[51.4191935, -0.4191503]",Surrey
quintiles  key account manager   diabetes and rare diseases   scotland     sunderland england   pharmaceutical,54.90686899999999,-1.383801,GB,"[54.90686899999999, -1.383801]",Tyne and Wear
 queenofengland at london united kingdom ,51.51330224,-0.13134784,GB,"[51.51330224, -0.13134784]",Greater London
 art  sculpture by  artist  davidmach  golgotha depiction of the crucifixion at  ,53.2,-2.91667,GB,"[53.2, -2.91667]",Cheshire West and Chester
another lovely morning for the  bigpedal  i was out mountain biking   km with  endomondo  endorphins ,57.2684812,-3.6563204,GB,"[57.2684812, -3.6563204]",Highland Council
part     at hyde park    event ,51.51051948,-0.15925938,GB,"[51.51051948, -0.15925938]",Greater London
"it is all in your hands lord  let me follow your path through the cobblestone road  

 tbt to  ",51.54174968,-0.14595482,GB,"[51.54174968, -0.14595482]",Greater London
 grillstock book launch swag   beer  bbq sauce and a coupla test tubes of  bloodyhellhotsauce  ,51.53905956,-0.05797525,GB,"[51.53905956, -0.05797525]",Greater London
 i dont mind a stranger if theyre behind something as quaint as tt   lt ,54.59962288,-5.92811326,GB,"[54.59962288, -5.92811326]",Belfast
juggling him must of had a good wk busking hes got all his strings to his guitar and a new coat   ,52.76489882,0.4028179,GB,"[52.76489882, 0.4028179]",Norfolk
incident moderate delay m   now clear   eastbound   j capel llanilltern   severity  moderate des      beepbeep,51.50861008,-3.30193574,GB,"[51.50861008, -3.30193574]",Cardiff
incident moderate delay m   now clear   eastbound   j tredegar park to j coldra   severity  mod      beepbeep,51.57111635,-3.0332433,GB,"[51.57111635, -3.0332433]",Newport
nice print of  framed at happenstance studios   art happenstance    ,51.5394099,-0.07669,GB,"[51.5394099, -0.07669]",Greater London
lovely view this morning now ready for the  fruit  amp  veg congress ,52.55473362,-1.73053751,GB,"[52.55473362, -1.73053751]",Warwickshire
behind the scenes wedding prep for this beautiful bride on her wedding day hairby  ,51.5171783,-0.0812366,GB,"[51.5171783, -0.0812366]",Greater London
if you like the look of that  bcmma line up stayed tuned as well be giving ten tickets away over the course of the weekend,51.80618629999999,0.6488236,GB,"[51.80618629999999, 0.6488236]",Essex
a bit late to the party but lets get going  findyourfit at the gym london waterloo  ,51.50084888,-0.10724545,GB,"[51.50084888, -0.10724545]",Greater London
can you recommend anyone for this  it  job   reading  hiring  careerarc,51.4542645,-0.9781303,GB,"[51.4542645, -0.9781303]",Reading
having a swim for a bit of a change  variety is the spice of life  at skylark golf  amp  country club ,50.87758581,-1.2289238,GB,"[50.87758581, -1.2289238]",Hampshire
van wolf as beast and joker uk members of heroes of geek cosplay at  comic con cymru as guests   ,51.48021884,-3.17649381,GB,"[51.48021884, -3.17649381]",Cardiff
 a bit like us really could up roots and support any successful team like batley sheffield or larndon ,53.71813203,-1.37067613,GB,"[53.71813203, -1.37067613]",West Yorkshire
well done talia fantastic dancing  danceroftheweek  stretch  jazz  technique  street  denton  ,53.456633,-2.11035234,GB,"[53.456633, -2.11035234]",Greater Manchester
down by the river at york ,53.9583,-1.0803,GB,"[53.9583, -1.0803]",York
"happy birthday queeny 
the grand age of    jewizz still looking as beautiful as ever major  ",54.05140770000001,-2.8149247,GB,"[54.05140770000001, -2.8149247]",Lancashire
pretty bon bon jar available in your colours as part of their wedding packages at three salmons  ,51.70359469,-2.90343403,GB,"[51.70359469, -2.90343403]",Monmouthshire
to go with todays coffee we have a few beautiful pastel de nata  getinmyface  theygoquick  ,50.3952081,-3.5153955000000003,GB,"[50.3952081, -3.5153955000000003]",Torbay
getting ready for take off come on      holiday  tenerife  comeon  ,51.16230407,-0.18076915,GB,"[51.16230407, -0.18076915]",West Sussex
early morning stroll with the wildlife at pennington flash ,53.48728795,-2.53882528,GB,"[53.48728795, -2.53882528]",Greater Manchester
 tbt  spring break portugal   we sure do miss those private pools   watch as one of our  ,51.51330224,-0.13134784,GB,"[51.51330224, -0.13134784]",Greater London
morning filter brew in the sun of the exclusive el alto lot from finca berlin colombia whilst  ,53.73293620000001,-0.3629608,GB,"[53.73293620000001, -0.3629608]",Kingston upon Hull
im at university of leeds    in leeds west yorkshire ,53.80713859,-1.55273712,GB,"[53.80713859, -1.55273712]",West Yorkshire
birthday bunting for hrh her majesty the queen ,55.18452541,-1.52510287,GB,"[55.18452541, -1.52510287]",Northumberland
         at university of stirling in bridge of allan stirlingshire ,56.14504744,-3.91967297,GB,"[56.14504744, -3.91967297]",Stirling
  bst  temperature    wind   humidity   rain hourly   mm pressure   hpa rising slowly,56.553,-3.143,GB,"[56.553, -3.143]",Angus council
"

billy 

 business  entrepreneur  entrepreneurs  ",50.79356642,-1.09813444,GB,"[50.79356642, -1.09813444]",Portsmouth
its one of those bad hair days     at egremont uk ,54.48754542,-3.53209257,GB,"[54.48754542, -3.53209257]",Cumbria
 impossible  shes the head of state  it doesnt actually matter,51.486378,0.273986,GB,"[51.486378, 0.273986]",Essex
 essex  train delays and cancellations in harlow ,51.72529343,0.46173641,GB,"[51.72529343, 0.46173641]",Essex
 essex  criminals slash tyres on car in black notley  ,51.72529343,0.46173641,GB,"[51.72529343, 0.46173641]",Essex
my valuable sleep hours,53.38200289,-1.4855617,GB,"[53.38200289, -1.4855617]",South Yorkshire
thanks for the effort of writing my full name       respect at embankment ,51.5077,-0.12144,GB,"[51.5077, -0.12144]",Greater London
fresh green   yellow   and white windows with the reflection of bridgnorth town hall   sew lovely   ,52.5350168,-2.41943709,GB,"[52.5350168, -2.41943709]",Shropshire
good morning twitter welcome to maggie rays studio page here to provide the photos that weve all been waiting for exciting  newbusiness,51.5393235,0.7060973,GB,"[51.5393235, 0.7060973]",Southend-on-Sea
zip it throwback to some minx zip nails i did a little while ago      at nails by mets ,51.4338608,-0.07077,GB,"[51.4338608, -0.07077]",Greater London
snp manifesto launch  sea of sturgeons show partys strategic focus   politics ,51.50013926,-0.12450144,GB,"[51.50013926, -0.12450144]",Greater London
"average wind  n a mph     force n a  
barometer    mb falling slowly  
temperature   c  
rain today    mm  
 kent  weather",51.21777778,1.40388889,GB,"[51.21777778, 1.40388889]",Kent
another lovely day ,55.1231699,-1.54238033,GB,"[55.1231699, -1.54238033]",Northumberland
how can i mistakenly turnup for a class that s at am one hour early  ,53.38200289,-1.4855617,GB,"[53.38200289, -1.4855617]",South Yorkshire
learning through culture   politics ,51.50013926,-0.12450144,GB,"[51.50013926, -0.12450144]",Greater London
beacons to be lit in  shrewsbury and  telford for queen s th birthday   shropshire ,52.63162952,-2.50153743,GB,"[52.63162952, -2.50153743]",Shropshire
european commission files antitrust charges against google over android   computing  mobile ,53.42588146,-2.99511602,GB,"[53.42588146, -2.99511602]",Merseyside
guilty by barbra streisand with barry gibb is  nowplaying in ferry boat inn burton joyce ,52.97230547,-1.03777325,GB,"[52.97230547, -1.03777325]",Nottinghamshire
who else is feeling strong af today        il say it before and il say it again    set your  ,53.38762122,-2.31175477,GB,"[53.38762122, -2.31175477]",Greater Manchester
i bloody love the look of this theatrical remake of the classic s  ,51.545561600000006,-0.0554703,GB,"[51.545561600000006, -0.0554703]",Greater London
 its the last week of our current exhibition  insideout heres a glimpse of what to expect ,53.4739535,-2.251435,GB,"[53.4739535, -2.251435]",Greater Manchester
 didyouknow  full time pupils attend  independent schools in cambridgeshire and peterborough   laria,52.1955,0.1465,GB,"[52.1955, 0.1465]",Cambridgeshire
i decided to going to the  manchestermuseum yesterday it was brilliant they had one of the  ,53.46638889,-2.23444444,GB,"[53.46638889, -2.23444444]",Greater Manchester
gorgeous weather      sunny  islay  laphroaig  scotland at laphroaig distillery ,55.62988889,-6.15233333,GB,"[55.62988889, -6.15233333]",Argyll and Bute Council
rt  what is the difference between content and content marketing   ,52.2748178,-1.5975826000000002,GB,"[52.2748178, -1.5975826000000002]",Warwickshire
the joys of waste management at the old sessions house  tosh    in knutsford cheshire ,53.3050378,-2.37545013,GB,"[53.3050378, -2.37545013]",Cheshire East
missed it at the george and devonshire in chiswick greater london ,51.4865647,-0.25222301,GB,"[51.4865647, -0.25222301]",Greater London
lost property  random  duck  male  mallard  camo  flowerbed  morning  stroll at regents park and  ,51.52729629,-0.15085954,GB,"[51.52729629, -0.15085954]",Greater London
well done isabel and evie  beautiful dancing  danceroftheweek  ballet  tap  denton  tameside  ,53.456633,-2.11035234,GB,"[53.456633, -2.11035234]",Greater Manchester
no  intermittentfasting today so started the day off bright and early with scrambled eggs with  ,53.2437014,-1.43445182,GB,"[53.2437014, -1.43445182]",Derbyshire
 clubhousepartay      voting party arejeanderson   ppphoto  ,51.5242852,-0.07491239999999999,GB,"[51.5242852, -0.07491239999999999]",Greater London
any ideas    freebeefridayknits  thursday  teaser    ,50.11506142,-5.41788558,GB,"[50.11506142, -5.41788558]",Cornwall
the day the announce his death i swear ill have an actual breakdown,54.7489662,-1.2913348,GB,"[54.7489662, -1.2913348]",County Durham
we hope you have a great day amazing people do amazing things   quoteoftheday  quote  fact  motivation  inspiration ,51.5044596,-0.0778712,GB,"[51.5044596, -0.0778712]",Greater London
this runners victory across the finish line will be the most satisfying thing you    fitness ,51.48217862,-0.18016398,GB,"[51.48217862, -0.18016398]",Greater London
the queen deserves the same respect as any other  year old  not the current level of ass kissing thats going on  stopthereign,53.21634499,-3.06577464,GB,"[53.21634499, -3.06577464]",Flintshire
 a good move likely to be a regular before too long ,52.57892,-2.04374,GB,"[52.57892, -2.04374]",West Midlands
 monopoly  thehobbit  lordoftherings  boardgames at cambridge united kingdom ,52.2,0.116667,GB,"[52.2, 0.116667]",Cambridgeshire
  bst  temperature    c wind  wnw  mph ave  mph gust humidity    rain hourly   mm pressure   hpa rising slowly,51.478303,-2.596979,GB,"[51.478303, -2.596979]",City of Bristol
